Unit;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;%;%;%;%;%;%;;;Index;%;%;Index;;%;;%;%;;%;%
Series Id;CPI.Q.C.ia;CPI.Q.C.iaq;CPI.Q.C.iay;CPIT.Q.C.ia;CPIT.Q.C.iaq;CPIT.Q.C.iay;CPIN.Q.C.ia;CPIN.Q.C.iaq;CPIN.Q.C.iay;CPI.Q.C01.ia;CPI.Q.C01.iaq;CPI.Q.C01.iay;CPI.Q.C04.ia;CPI.Q.C04.iaq;CPI.Q.C04.iay;CPI.Q.C07.ia;CPI.Q.C07.iaq;CPI.Q.C07.iay;CPI.Q.C07202.ia;CPI.Q.C07202.iaq;CPI.Q.C07202.iay;CPI.Q.ZC21.ia;CPI.Q.ZC21.iaq;CPI.Q.ZC21.iay;CPI.Q.ZC40.iaq;CPIM.Q.C40T10B17.iay;CPI.Q.ZC41.iaq;CPIW.Q.C41P50B17.iay;CPI.Q.ZC42.iay;CPI.Q.ZC43.iay;CPI.Q.ZC431.iay;CPI.Q.ZC432.iay;HPI.Q.H01T0.ia;HPI.Q.H01T0.iaq;HPI.Q.H01T0.iay;GDE.Q.DY.RS;GDE.Q.DY.rsq;GDE.Q.DY.rsy;PPI06.Q.T0I1.ia;PPI06.Q.T0I1.iaq;PPI06.Q.T0I1.iay;PPI06.Q.T0I2.ia;PPI06.Q.T0I2.iaq;PPI06.Q.T0I2.iay
dez 2001;723;0,6;1,8;907;0,3;2,1;607;0,7;1,5;722;1,5;6,7;549;0,4;-1,0;821;-0,7;-1,6;516;-9,1;-15,4;731;0,8;2,5;0,7;;0,7;;2,6;3,0;2,4;3,4;718;1,7;3,0;835;1,8;3,2;772;-0,5;1,8;780;0,0;2,6
mar 2002;727;0,6;2,6;905;-0,2;2,1;615;1,2;2,9;731;1,2;5,3;556;1,3;2,2;816;-0,6;0,6;518;0,3;-7,0;736;0,7;3,0;0,8;;0,6;;2,7;2,9;1,8;3,5;737;2,6;5,1;836;0,1;2,0;771;-0,1;2,8;783;0,4;3,1
jun 2002;734;1,0;2,8;920;1,6;2,2;618;0,6;3,2;728;-0,5;4,1;560;0,7;2,9;849;4,0;1,3;569;9,9;-3,9;741;0,7;3,1;0,9;;0,6;;2,9;2,9;1,6;3,6;752;2,1;7,5;828;-1,0;0,7;771;0,0;1,4;787;0,5;2,3
set 2002;738;0,5;2,6;917;-0,3;1,4;625;1,0;3,5;728;0,1;2,3;565;1,0;3,4;840;-1,0;1,7;556;-2,4;-2,1;745;0,5;2,7;0,3;;0,4;;2,7;2,7;1,3;3,5;773;2,9;9,6;834;0,7;1,7;759;-1,5;-2,1;779;-1,1;-0,2
dez 2002;742;0,6;2,7;921;0,5;1,6;630;0,9;3,8;729;0,1;0,9;572;1,2;4,3;853;1,6;4,0;552;-0,6;7,0;751;0,8;2,7;0,6;;0,6;;2,7;2,6;1,1;3,5;801;3,5;11,5;822;-1,4;-1,6;761;0,2;-1,5;779;0,0;-0,2
mar 2003;745;0,4;2,5;919;-0,3;1,5;635;0,8;3,4;730;0,1;-0,2;577;0,8;3,9;854;0,1;4,7;587;6,3;13,5;751;0,1;2,1;0,4;;0,4;;2,6;2,4;0,9;3,4;842;5,2;14,3;829;0,9;-0,8;761;0,0;-1,4;779;0,1;-0,4
jun 2003;745;0,0;1,5;910;-1,0;-1,1;641;0,8;3,6;728;-0,3;0,0;585;1,3;4,5;830;-2,8;-2,2;530;-9,7;-6,8;754;0,3;1,8;0,2;;0,2;;2,0;2,3;0,6;3,4;871;3,4;15,9;839;1,2;1,3;757;-0,5;-1,9;781;0,3;-0,7
set 2003;748;0,5;1,5;904;-0,7;-1,5;648;1,2;3,8;730;0,4;0,3;598;2,3;5,8;814;-1,9;-3,1;568;7,1;2,2;755;0,2;1,4;0,6;;0,5;;1,9;2,4;0,3;3,6;938;7,6;21,2;845;0,7;1,3;761;0,5;0,2;785;0,4;0,8
dez 2003;754;0,7;1,6;903;-0,1;-2,0;657;1,3;4,2;730;0,0;0,2;611;2,2;6,8;814;0,0;-4,6;556;-2,1;0,7;762;0,9;1,5;0,7;;0,5;;1,9;2,5;0,0;3,8;1000;6,7;24,9;851;0,7;3,5;761;0,1;0,1;788;0,4;1,2
mar 2004;757;0,4;1,5;898;-0,6;-2,3;664;1,1;4,5;733;0,4;0,5;618;1,1;7,1;806;-1,0;-5,7;585;5,3;-0,3;764;0,2;1,6;0,6;;0,4;;2,0;2,7;-0,1;4,0;1041;4,1;23,6;852;0,1;2,8;758;-0,4;-0,3;786;-0,2;0,9
